                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.339,                 1.1987,                 1.2223,                0.98358,                0.84615,                0.93509,                0.60823,                 1.1588,                 1.1285,                 1.1296,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2054,                 1.1374,                 1.2114,                0.91451,                0.84615,                0.93193,                0.45934,                 1.4923,                 1.4622,                  1.292,               0.001307,               0.001307,               0.001307
                     37,                 1.1986,                 1.0954,                 1.1652,                0.82502,                0.61538,                0.81905,                0.39353,                 1.4744,                 1.5868,                 1.3743,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1986,                 1.1141,                 1.1751,                 0.6028,                0.84615,                 0.8106,                0.46447,                 1.4026,                 1.4118,                 1.3242,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2019,                 1.0319,                 1.1859,                 0.8405,                0.53846,                0.81889,                0.48156,                 1.3411,                 1.4099,                 1.2785,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2027,                 1.0045,                 1.1704,                0.96563,                0.84615,                0.85161,                 0.5442,                 1.3744,                    1.2,                 1.2682,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1878,                0.99409,                 1.1429,                0.98001,                0.84615,                0.85714,                0.57188,                 1.3815,                 1.2896,                  1.279,               0.001208,               0.001208,               0.001208
                     42,                 1.1943,                 1.0272,                 1.1894,                 0.9892,                0.84615,                 0.8502,                0.51685,                 1.3229,                 1.1022,                 1.2644,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2434,                0.98716,                 1.1964,                 0.9749,                0.84615,                0.85251,                0.48247,                 1.5754,                 1.1676,                 1.4666,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2657,                0.99251,                 1.1978,                0.98338,                0.84615,                0.85593,                 0.4543,                 1.6006,                 1.3658,                 1.4532,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1524,                 0.9782,                 1.1558,                0.96543,                0.84615,                 0.8974,                0.52159,                 1.2788,                 1.2707,                 1.2333,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1662,                0.93073,                 1.1665,                0.98842,                0.84615,                0.90998,                0.54462,                 1.2156,                 1.2174,                 1.1486,               0.001109,               0.001109,               0.001109
                     47,                 1.1444,                0.93938,                 1.1728,                 0.9882,                0.84615,                0.89013,                0.57152,                 1.2784,                 1.1515,                 1.1886,              0.0010892,              0.0010892,              0.0010892
