                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.57157,                0.96401,                0.59989,                 1.0362,                      1,                0.81276,                0.88627,                0.68123,                      1,                0.81276,                0.88627,                0.64677,                0.76846,                 1.5406,                 1.2102,                 1.3989,              0.0015248,              0.0015248,              0.0015248
                     26,                0.57603,                0.92573,                 0.6065,                 0.9936,                0.91495,                      1,                0.98269,                0.63163,                0.99354,                0.83333,                0.90659,                0.54038,                0.85055,                 1.6869,                 1.1384,                 1.4168,               0.001505,               0.001505,               0.001505
                     27,                0.56168,                0.91161,                0.58247,                  1.047,                0.97464,                      1,                  0.995,                0.82767,                0.97464,                      1,                  0.995,                0.83863,                0.61893,                0.79899,                  0.748,                 1.1486,              0.0014852,              0.0014852,              0.0014852
                     28,                0.55228,                0.93588,                  0.574,                 1.0256,                0.99354,                      1,                  0.995,                0.87442,                0.99354,                      1,                  0.995,                0.83694,                0.53912,                 1.2392,                0.54699,                 1.0323,              0.0014654,              0.0014654,              0.0014654
                     29,                0.55394,                0.88805,                0.56323,                 1.0186,                0.99292,                      1,                  0.995,                0.89369,                0.99292,                      1,                  0.995,                0.89805,                0.54261,                0.95383,                0.55186,                 1.0168,              0.0014456,              0.0014456,              0.0014456
                     30,                0.53942,                0.90592,                0.54578,                0.99324,                0.99562,                      1,                  0.995,                0.88268,                0.99562,                      1,                  0.995,                 0.9454,                0.51972,                0.57461,                0.60043,                  1.015,              0.0014258,              0.0014258,              0.0014258
                     31,                0.55782,                0.85744,                0.54673,                 1.0094,                0.99393,                      1,                  0.995,                 0.8712,                0.99393,                      1,                  0.995,                0.93355,                0.55194,                0.71223,                0.66813,                 1.0338,               0.001406,               0.001406,               0.001406
                     32,                0.53679,                0.84477,                0.52008,                 1.0044,                0.99625,                      1,                  0.995,                0.89644,                0.99625,                      1,                  0.995,                0.90929,                0.53597,                0.60665,                   0.61,                 1.0409,              0.0013862,              0.0013862,              0.0013862
                     33,                0.55541,                0.81668,                0.51718,                0.99485,                0.92214,                0.98777,                0.98885,                0.85303,                0.92214,                0.98777,                0.98885,                0.90733,                 0.5726,                0.66433,                0.61219,                 1.0784,              0.0013664,              0.0013664,              0.0013664
                     34,                0.48406,                0.87725,                0.49808,                0.97786,                      1,                0.99825,                  0.995,                0.79106,                      1,                0.99825,                  0.995,                0.86486,                0.69344,                0.69713,                0.68237,                 1.2382,              0.0013466,              0.0013466,              0.0013466
                     35,                0.54232,                0.89065,                 0.5098,                 1.0021,                0.98807,                      1,                  0.995,                0.85932,                0.98807,                      1,                  0.995,                0.76337,                 0.6373,                 1.6635,                0.58336,                 1.0999,              0.0013268,              0.0013268,              0.0013268
                     36,                0.50088,                0.83755,                0.49199,                 0.9834,                      1,                0.98899,                  0.995,                0.91373,                0.98879,                0.91667,                0.91531,                0.79368,                0.47446,                 1.7436,                  0.555,                 0.9354,               0.001307,               0.001307,               0.001307
